disaster_type,rainfall,water_level,wind_speed,atmospheric_pressure,magnitude,depth,seismic_intensity,population_density,previous_disasters,risk
Flood,122.0,1.2,89.0,,,,,921,1,Medium
Flood,290.0,5.48,101.0,,,,,337,6,High
Flood,126.0,5.29,106.0,,,,,480,2,Medium
Flood,91.0,8.48,68.0,,,,,998,6,Medium
Flood,208.0,3.77,68.0,,,,,582,7,Medium
Flood,40.0,8.35,57.0,,,,,1001,2,Medium
Flood,122.0,9.71,22.0,,,,,1148,4,Medium
Flood,141.0,1.8,116.0,,,,,1240,0,Medium
Flood,234.0,8.13,54.0,,,,,581,2,Medium
Flood,107.0,6.31,98.0,,,,,1016,0,Medium
Flood,119.0,5.32,109.0,,,,,1093,3,Medium
Flood,171.0,4.78,16.0,,,,,1063,0,Medium
Flood,150.0,8.06,142.0,,,,,636,3,High
Flood,169.0,6.75,54.0,,,,,1202,1,Medium
Flood,277.0,8.25,67.0,,,,,1296,1,High
Flood,211.0,9.13,40.0,,,,,1135,5,High
Flood,296.0,6.56,32.0,,,,,227,5,Medium
Flood,180.0,9.82,147.0,,,,,191,4,High
Flood,41.0,6.47,116.0,,,,,642,2,Medium
Flood,272.0,6.73,48.0,,,,,945,4,High
Flood,255.0,5.99,91.0,,,,,1088,3,High
Flood,68.0,1.82,109.0,,,,,546,4,Medium
Flood,78.0,7.54,11.0,,,,,489,0,Low
Flood,189.0,5.93,86.0,,,,,771,3,Medium
Flood,207.0,5.06,21.0,,,,,142,5,Medium
Flood,290.0,9.19,48.0,,,,,353,1,High
Flood,209.0,3.68,22.0,,,,,1253,5,Medium
Flood,194.0,5.71,55.0,,,,,1183,2,Medium
Flood,70.0,7.28,122.0,,,,,762,3,Medium
Flood,74.0,8.17,26.0,,,,,566,3,Medium
Flood,263.0,5.13,113.0,,,,,386,0,Medium
Flood,150.0,8.58,107.0,,,,,1110,2,High
Flood,154.0,7.92,97.0,,,,,877,1,Medium
Flood,40.0,1.6,118.0,,,,,444,6,Medium
Flood,186.0,1.41,79.0,,,,,741,3,Medium
Flood,293.0,6.59,83.0,,,,,481,3,High
Flood,108.0,4.13,72.0,,,,,789,0,Medium
Flood,33.0,2.88,69.0,,,,,1376,4,Medium
Flood,261.0,6.22,88.0,,,,,1179,7,High
Flood,284.0,4.07,46.0,,,,,556,1,Medium
Flood,72.0,5.84,31.0,,,,,1082,5,Medium
Flood,111.0,5.14,105.0,,,,,182,2,Medium
Flood,283.0,6.26,77.0,,,,,1222,3,High
Flood,54.0,4.6,26.0,,,,,248,3,Low
Flood,225.0,7.28,21.0,,,,,1452,5,High
Flood,100.0,2.62,147.0,,,,,1279,1,Medium
Flood,69.0,7.27,127.0,,,,,289,7,Medium
Flood,21.0,4.7,31.0,,,,,982,4,Low
Flood,73.0,8.87,129.0,,,,,362,3,Medium
Flood,125.0,5.64,59.0,,,,,1203,7,Medium
Flood,279.0,9.76,23.0,,,,,499,1,High
Flood,210.0,6.42,38.0,,,,,863,5,Medium
Flood,237.0,3.01,134.0,,,,,708,0,Medium
Flood,63.0,8.4,16.0,,,,,1383,4,Medium
Flood,181.0,4.11,38.0,,,,,884,2,Medium
Flood,221.0,4.13,148.0,,,,,200,3,Medium
Flood,289.0,1.29,42.0,,,,,1482,1,Medium
Flood,290.0,5.94,143.0,,,,,919,0,High
Flood,234.0,5.81,120.0,,,,,1344,2,High
Flood,271.0,4.2,88.0,,,,,919,6,High
Flood,209.0,9.05,67.0,,,,,519,1,Medium
Flood,232.0,2.16,35.0,,,,,223,1,Medium
Flood,227.0,3.97,38.0,,,,,521,2,Medium
Flood,256.0,3.89,13.0,,,,,1354,0,Medium
Flood,72.0,1.83,108.0,,,,,1186,6,Medium
Flood,299.0,5.33,150.0,,,,,867,7,High
Flood,236.0,7.19,48.0,,,,,582,7,High
Flood,271.0,5.6,24.0,,,,,618,5,Medium
Flood,207.0,2.41,128.0,,,,,254,0,Medium
Flood,60.0,4.4,38.0,,,,,191,4,Low
Flood,176.0,1.02,84.0,,,,,1081,3,Medium
Flood,34.0,8.81,125.0,,,,,554,2,Medium
Flood,84.0,1.76,41.0,,,,,697,5,Low
Flood,28.0,6.38,139.0,,,,,609,6,Medium
Flood,148.0,9.88,93.0,,,,,1306,2,High
Flood,155.0,5.83,31.0,,,,,485,2,Medium
Flood,82.0,9.32,36.0,,,,,504,0,Medium
Flood,158.0,3.13,90.0,,,,,345,3,Medium
Flood,100.0,7.84,135.0,,,,,841,4,High
Flood,182.0,5.78,101.0,,,,,760,7,High
Flood,280.0,7.48,30.0,,,,,749,1,Medium
Flood,250.0,1.56,56.0,,,,,1000,1,Medium
Flood,60.0,2.33,110.0,,,,,164,2,Low
Flood,47.0,2.2,93.0,,,,,1136,7,Medium
